GeneID	GeneName
leptidea_sinapisG00000005626	lipt2
leptidea_sinapisG00000003107	-
leptidea_sinapisG00000008916	-
leptidea_sinapisG00000002897	sick
leptidea_sinapisG00000012240	sick_3
leptidea_sinapisG00000012351	sick_4
leptidea_sinapisG00000004811	fgfr1op
leptidea_sinapisG00000013605	gabbr1_2
leptidea_sinapisG00000013188	gabbr1
leptidea_sinapisG00000012043	agpat2
leptidea_sinapisG00000012325	agpat1_3
leptidea_sinapisG00000003724	-
leptidea_sinapisG00000013742	-
leptidea_sinapisG00000014224	agpat1_4
leptidea_sinapisG00000002806	lrrc57
leptidea_sinapisG00000007273	mtf2
leptidea_sinapisG00000013754	-
leptidea_sinapisG00000005321	brd2
leptidea_sinapisG00000003240	znf407
leptidea_sinapisG00000013062	slc31a1_2
leptidea_sinapisG00000011100	coq4
leptidea_sinapisG00000003246	prmt5
leptidea_sinapisG00000008376	surf6
leptidea_sinapisG00000004864	znf155_2
leptidea_sinapisG00000007703	mrpl51
leptidea_sinapisG00000008840	gld_19
leptidea_sinapisG00000006314	-
leptidea_sinapisG00000005799	-
leptidea_sinapisG00000007763	psf2
leptidea_sinapisG00000011058	traf4
leptidea_sinapisG00000005043	grik2
leptidea_sinapisG00000002486	mfsd6_2
leptidea_sinapisG00000000600	syt15
leptidea_sinapisG00000013216	-
leptidea_sinapisG00000014466	bjsp-2_2
leptidea_sinapisG00000004850	bjsp-2
leptidea_sinapisG00000003277	arya_2
leptidea_sinapisG00000010157	arya_3
leptidea_sinapisG00000003729	zetatry
leptidea_sinapisG00000002693	arya
leptidea_sinapisG00000002431	ajsp-1
leptidea_sinapisG00000001989	tf2-6
leptidea_sinapisG00000011577	gsb
leptidea_sinapisG00000002089	gsb-n
leptidea_sinapisG00000012822	nst1
leptidea_sinapisG00000006149	-
leptidea_sinapisG00000009541	nplp1
leptidea_sinapisG00000006614	-
leptidea_sinapisG00000015199	mtpn_2
leptidea_sinapisG00000010421	-
leptidea_sinapisG00000010204	rpl13a
leptidea_sinapisG00000006257	-
leptidea_sinapisG00000013303	-
leptidea_sinapisG00000014664	cacybp
leptidea_sinapisG00000011496	-
leptidea_sinapisG00000005503	ing3
leptidea_sinapisG00000002756	ppk28
leptidea_sinapisG00000002601	swip-1
leptidea_sinapisG00000005737	-
leptidea_sinapisG00000006971	ankra2
leptidea_sinapisG00000008042	hacl1
leptidea_sinapisG00000007249	c38c10.2_2
leptidea_sinapisG00000011935	ate1
leptidea_sinapisG00000004809	c38c10.2
leptidea_sinapisG00000011652	arhgap20_2
leptidea_sinapisG00000012733	-
leptidea_sinapisG00000008573	mecrcg16935
leptidea_sinapisG00000010236	-
leptidea_sinapisG00000012706	c17orf53
leptidea_sinapisG00000013879	-
leptidea_sinapisG00000006975	faf2-b
leptidea_sinapisG00000010068	cyb5r4
leptidea_sinapisG00000005456	faah2_2
leptidea_sinapisG00000003903	senp8
leptidea_sinapisG00000012499	cyc_2
leptidea_sinapisG00000010891	-
leptidea_sinapisG00000015533	-
leptidea_sinapisG00000007535	acbp2
leptidea_sinapisG00000010001	psme3
leptidea_sinapisG00000008945	mettl18
leptidea_sinapisG00000009355	pnpo
leptidea_sinapisG00000014653	srprb
leptidea_sinapisG00000003753	h_2
leptidea_sinapisG00000002575	c38c10.2slc17a5
leptidea_sinapisG00000011158	tmem19
leptidea_sinapisG00000001495	acap2
leptidea_sinapisG00000013764	nanos1
leptidea_sinapisG00000011690	cysk
leptidea_sinapisG00000005215	esf1
leptidea_sinapisG00000007655	triap1-b
leptidea_sinapisG00000009571	spt4
leptidea_sinapisG00000007327	sars2
leptidea_sinapisG00000003974	dnmt1
leptidea_sinapisG00000005882	dbe
leptidea_sinapisG00000011046	-
leptidea_sinapisG00000003128	hayan
leptidea_sinapisG00000001766	znfx1
leptidea_sinapisG00000006534	znfx1_2
leptidea_sinapisG00000004959	clk
leptidea_sinapisG00000015307	nanos1_2
leptidea_sinapisG00000011517	lama
leptidea_sinapisG00000003680	chmp2bchmp2b-b
leptidea_sinapisG00000003936	gprgr22
leptidea_sinapisG00000014432	orcka
leptidea_sinapisG00000011182	aael007402
leptidea_sinapisG00000010989	med1
leptidea_sinapisG00000005328	-
leptidea_sinapisG00000003007	tret1_9
leptidea_sinapisG00000002187	arg2
leptidea_sinapisG00000004200	znf622
leptidea_sinapisG00000005164	fkbp15
leptidea_sinapisG00000010697	gj17921
leptidea_sinapisG00000001789	-
leptidea_sinapisG00000000208	fbxl6
leptidea_sinapisG00000006061	-
leptidea_sinapisG00000012821	rabl6
leptidea_sinapisG00000000828	-
leptidea_sinapisG00000006366	smim8
leptidea_sinapisG00000013363	-
leptidea_sinapisG00000014909	rims2rims1
leptidea_sinapisG00000011349	ach2
leptidea_sinapisG00000013232	-
leptidea_sinapisG00000002977	chrna5
leptidea_sinapisG00000008571	csp
leptidea_sinapisG00000008690	mpv17
leptidea_sinapisG00000000518	slc20a1
leptidea_sinapisG00000008808	parl
leptidea_sinapisG00000001813	esd
leptidea_sinapisG00000009412	-
leptidea_sinapisG00000005008	-
leptidea_sinapisG00000007777	eloa
leptidea_sinapisG00000010471	fbxl7
leptidea_sinapisG00000013060	gdh_3
leptidea_sinapisG00000002351	tmed3
leptidea_sinapisG00000005920	yipf5
leptidea_sinapisG00000012410	-
leptidea_sinapisG00000013077	-
leptidea_sinapisG00000008277	-
leptidea_sinapisG00000004734	ndc1
leptidea_sinapisG00000002391	-
leptidea_sinapisG00000008937	unc80
leptidea_sinapisG00000014445	mlc1
leptidea_sinapisG00000010160	-
leptidea_sinapisG00000013270	map2
leptidea_sinapisG00000013246	rusc2
leptidea_sinapisG00000006004	slc46a3_2
leptidea_sinapisG00000003735	-
leptidea_sinapisG00000005880	-
leptidea_sinapisG00000011388	proc
leptidea_sinapisG00000013238	scrib_2
leptidea_sinapisG00000010942	scrib
leptidea_sinapisG00000009483	-
leptidea_sinapisG00000009669	cg6971
leptidea_sinapisG00000005014	med4
leptidea_sinapisG00000014401	pxd_6
leptidea_sinapisG00000008133	pxd_5
leptidea_sinapisG00000003390	tkr86c_2
leptidea_sinapisG00000014921	-
leptidea_sinapisG00000010191	-
leptidea_sinapisG00000003700	orf1_2
leptidea_sinapisG00000004472	pol_5
leptidea_sinapisG00000007373	lac_7
leptidea_sinapisG00000011081	-
leptidea_sinapisG00000001070	cyp6b2
leptidea_sinapisG00000009265	dera
leptidea_sinapisG00000005692	-
leptidea_sinapisG00000012731	rad54l2
leptidea_sinapisG00000003902	nek8dncd2030.4
leptidea_sinapisG00000002179	snrpa1
leptidea_sinapisG00000004289	-
leptidea_sinapisG00000011152	-
leptidea_sinapisG00000014272	-
leptidea_sinapisG00000000540	-
leptidea_sinapisG00000014440	metap2
leptidea_sinapisG00000011187	yjr142w
leptidea_sinapisG00000000650	bre
leptidea_sinapisG00000009392	hccs
leptidea_sinapisG00000003248	mrpl55
leptidea_sinapisG00000007272	cg11583
leptidea_sinapisG00000010243	cg1311
leptidea_sinapisG00000004405	d2hgdh
leptidea_sinapisG00000012368	paip1
leptidea_sinapisG00000011505	l(1)g0136
leptidea_sinapisG00000002976	sec63
leptidea_sinapisG00000015369	-
leptidea_sinapisG00000002719	zasp52
leptidea_sinapisG00000002842	-
leptidea_sinapisG00000012650	nolc1
leptidea_sinapisG00000009470	-
leptidea_sinapisG00000000583	march8
leptidea_sinapisG00000008681	-
leptidea_sinapisG00000001807	cg4495
leptidea_sinapisG00000011779	chst11_2
leptidea_sinapisG00000014693	ogdhogdhl
leptidea_sinapisG00000007018	fundc1
leptidea_sinapisG00000007584	sera
leptidea_sinapisG00000001392	-
leptidea_sinapisG00000008905	-
leptidea_sinapisG00000002492	-
leptidea_sinapisG00000013135	taf12_3
leptidea_sinapisG00000004836	taf12_2
leptidea_sinapisG00000012017	ga15401
leptidea_sinapisG00000000756	suco
leptidea_sinapisG00000002222	-
leptidea_sinapisG00000005346	ostc-b
leptidea_sinapisG00000002748	cib1_2
leptidea_sinapisG00000005577	ak1_2
leptidea_sinapisG00000011841	os06g0109600
leptidea_sinapisG00000007794	hs2st
leptidea_sinapisG00000001657	trim45
leptidea_sinapisG00000010201	-
leptidea_sinapisG00000008114	med15
leptidea_sinapisG00000014417	-
leptidea_sinapisG00000012805	ush
leptidea_sinapisG00000012630	klf10
leptidea_sinapisG00000008106	l(2)gd1
leptidea_sinapisG00000001220	dync1li2
leptidea_sinapisG00000009658	eepd1
leptidea_sinapisG00000009721	mroh1
leptidea_sinapisG00000000984	-
leptidea_sinapisG00000005646	-
leptidea_sinapisG00000009908	tbc1d24
leptidea_sinapisG00000000731	saal1
leptidea_sinapisG00000005869	ssb
leptidea_sinapisG00000012175	ast
leptidea_sinapisG00000000108	casp1
leptidea_sinapisG00000010867	adtrp_3
leptidea_sinapisG00000004512	rpusd2
leptidea_sinapisG00000000799	hpgd_2
leptidea_sinapisG00000012219	-
leptidea_sinapisG00000005424	gfi1
leptidea_sinapisG00000010940	-
leptidea_sinapisG00000011376	heatr1
leptidea_sinapisG00000000248	-
leptidea_sinapisG00000005854	tfiib
leptidea_sinapisG00000002263	trib2
leptidea_sinapisG00000012735	ndufv1
leptidea_sinapisG00000013413	cg12375
leptidea_sinapisG00000011326	rngtt
leptidea_sinapisG00000014832	ctdsp1
leptidea_sinapisG00000010257	als2
leptidea_sinapisG00000009670	eif3h
leptidea_sinapisG00000001771	sumf1
leptidea_sinapisG00000000271	aael008004
leptidea_sinapisG00000009364	-
leptidea_sinapisG00000011557	lbp-6
leptidea_sinapisG00000004307	aael008004_2
leptidea_sinapisG00000001387	trabd
leptidea_sinapisG00000015301	at1g51650
leptidea_sinapisG00000000174	osgepl1
leptidea_sinapisG00000013185	agpat3
leptidea_sinapisG00000008356	meaf6_2
leptidea_sinapisG00000009565	-
leptidea_sinapisG00000007686	pex2
leptidea_sinapisG00000005637	cu19_3
leptidea_sinapisG00000005304	cu19cu18bccp84ab
leptidea_sinapisG00000000169	-
leptidea_sinapisG00000001382	cu18b
leptidea_sinapisG00000007890	cuo8
leptidea_sinapisG00000001604	edg84a
leptidea_sinapisG00000008605	cu19_4
leptidea_sinapisG00000005871	cu07_2
leptidea_sinapisG00000004900	cu19_2
leptidea_sinapisG00000013532	cu08_2
leptidea_sinapisG00000005007	cu08
leptidea_sinapisG00000002284	cu07
leptidea_sinapisG00000002536	cu19
leptidea_sinapisG00000007866	-
leptidea_sinapisG00000010877	cu18b_2
leptidea_sinapisG00000001502	cuo6
leptidea_sinapisG00000001748	sto-1sto-3stom
leptidea_sinapisG00000007461	acp21_2
leptidea_sinapisG00000013441	-
leptidea_sinapisG00000007119	mrpl47
leptidea_sinapisG00000013887	-
leptidea_sinapisG00000009488	sfl
leptidea_sinapisG00000004177	-
leptidea_sinapisG00000003482	-
leptidea_sinapisG00000000436	foxn1
leptidea_sinapisG00000007426	mst
leptidea_sinapisG00000000501	cherp
leptidea_sinapisG00000011901	elof1
leptidea_sinapisG00000008738	comt
leptidea_sinapisG00000001397	-
leptidea_sinapisG00000007371	fam32al
leptidea_sinapisG00000008368	grn_2
leptidea_sinapisG00000007090	grn
leptidea_sinapisG00000000885	-
leptidea_sinapisG00000007699	dock4
leptidea_sinapisG00000003314	inx3_2
leptidea_sinapisG00000014032	rpl31_3
leptidea_sinapisG00000009311	dock3
leptidea_sinapisG00000007563	-
leptidea_sinapisG00000008878	rhogap100f
leptidea_sinapisG00000000672	cyp4c1_2
leptidea_sinapisG00000001737	cyp4c1_3
leptidea_sinapisG00000004092	cyc
leptidea_sinapisG00000006857	cyp4c1_6
leptidea_sinapisG00000012748	arntlcyc
leptidea_sinapisG00000014486	gpsm2
leptidea_sinapisG00000005474	awh
leptidea_sinapisG00000000851	hn
leptidea_sinapisG00000002549	atpsyngamma
leptidea_sinapisG00000008226	at2g42005
leptidea_sinapisG00000011379	fry_2
leptidea_sinapisG00000014806	sstr4
leptidea_sinapisG00000005976	fry
leptidea_sinapisG00000005259	clcn3
leptidea_sinapisG00000011491	-
leptidea_sinapisG00000003971	galm
leptidea_sinapisG00000009990	hspg2
leptidea_sinapisG00000005212	lrp1bhspg2
leptidea_sinapisG00000014516	-
leptidea_sinapisG00000008889	ttpal_9
leptidea_sinapisG00000003645	-
leptidea_sinapisG00000012850	znf112
leptidea_sinapisG00000007245	ube2g2
leptidea_sinapisG00000005559	atg13
leptidea_sinapisG00000001790	serac1
leptidea_sinapisG00000002281	pr2
leptidea_sinapisG00000001013	ncs-2
leptidea_sinapisG00000007913	nca
leptidea_sinapisG00000006413	znf75d
leptidea_sinapisG00000003111	-
leptidea_sinapisG00000005733	-
leptidea_sinapisG00000001530	ptpn11
leptidea_sinapisG00000005766	csw
leptidea_sinapisG00000003771	agap005037
leptidea_sinapisG00000011781	crp4
leptidea_sinapisG00000011904	cg32809agap005037
leptidea_sinapisG00000007124	meigo
leptidea_sinapisG00000002014	cspg4
leptidea_sinapisG00000007050	cspg4_2
leptidea_sinapisG00000012036	-
leptidea_sinapisG00000011932	-
leptidea_sinapisG00000009718	bcs1l
leptidea_sinapisG00000007015	-
leptidea_sinapisG00000008956	-
leptidea_sinapisG00000000047	-
leptidea_sinapisG00000015540	alx4
leptidea_sinapisG00000000029	-
leptidea_sinapisG00000002895	cg8111
leptidea_sinapisG00000011063	mmp19
leptidea_sinapisG00000011757	st6gal2
leptidea_sinapisG00000009724	mmp14
leptidea_sinapisG00000008521	-
leptidea_sinapisG00000005889	litaf_3
leptidea_sinapisG00000007831	litaf_4
leptidea_sinapisG00000002152	rpl30
leptidea_sinapisG00000010711	-
leptidea_sinapisG00000006466	-
leptidea_sinapisG00000000635	pdrg1
leptidea_sinapisG00000004692	-
leptidea_sinapisG00000014308	-
leptidea_sinapisG00000015195	tnik
leptidea_sinapisG00000000623	rplp2
leptidea_sinapisG00000010079	sall1_2
leptidea_sinapisG00000010854	serpinb10
leptidea_sinapisG00000012236	cndp2
leptidea_sinapisG00000011077	nct
leptidea_sinapisG00000008651	hpo-8
leptidea_sinapisG00000007057	bysl
leptidea_sinapisG00000013349	rnf180
leptidea_sinapisG00000013087	kcnh2
leptidea_sinapisG00000001108	-
leptidea_sinapisG00000013220	l(2)03659_3
leptidea_sinapisG00000002422	l(2)03659
leptidea_sinapisG00000007095	abcc4_2
leptidea_sinapisG00000014059	golga4
leptidea_sinapisG00000006056	cg16817
leptidea_sinapisG00000004062	-
leptidea_sinapisG00000008463	ci085
leptidea_sinapisG00000003064	lsm10
leptidea_sinapisG00000012613	cry1_3
leptidea_sinapisG00000012260	rpl8
leptidea_sinapisG00000015106	dzip1l
leptidea_sinapisG00000011534	op1
leptidea_sinapisG00000009340	-
leptidea_sinapisG00000003000	sucla2
leptidea_sinapisG00000013358	g
leptidea_sinapisG00000008812	gins4
leptidea_sinapisG00000002974	abcc4
leptidea_sinapisG00000006338	commd2
leptidea_sinapisG00000008152	-
leptidea_sinapisG00000002005	-
leptidea_sinapisG00000015133	-
leptidea_sinapisG00000012858	cd82
leptidea_sinapisG00000014286	psug
leptidea_sinapisG00000010849	efhc1
leptidea_sinapisG00000011723	mgst1_4
leptidea_sinapisG00000002058	mgst1
leptidea_sinapisG00000009384	mgst1_2
leptidea_sinapisG00000001160	membrin
leptidea_sinapisG00000000757	gpm6b
leptidea_sinapisG00000003765	mctp1
leptidea_sinapisG00000008153	mctp1_4
leptidea_sinapisG00000001034	rest
leptidea_sinapisG00000015205	aael003512_2
leptidea_sinapisG00000011430	cnot1_2
leptidea_sinapisG00000001119	alkbh1
leptidea_sinapisG00000002216	-
leptidea_sinapisG00000000342	fend
leptidea_sinapisG00000014062	psma3
leptidea_sinapisG00000007232	ppp1r13b
leptidea_sinapisG00000001121	-
leptidea_sinapisG00000004853	-
leptidea_sinapisG00000013157	-
leptidea_sinapisG00000002631	itpk1
leptidea_sinapisG00000003149	-
leptidea_sinapisG00000015593	clasrp
leptidea_sinapisG00000011005	-
leptidea_sinapisG00000011220	ylpm1
leptidea_sinapisG00000009436	-
leptidea_sinapisG00000006903	rbks
leptidea_sinapisG00000008856	mrpl17
leptidea_sinapisG00000002055	tubgcp6
leptidea_sinapisG00000009221	-
leptidea_sinapisG00000007961	nhlh1
leptidea_sinapisG00000009738	cg3062
leptidea_sinapisG00000004325	smg9
leptidea_sinapisG00000000914	m6pr
leptidea_sinapisG00000010529	obp19d_2
leptidea_sinapisG00000001316	-
leptidea_sinapisG00000012186	-
leptidea_sinapisG00000012228	-
leptidea_sinapisG00000013203	spri
leptidea_sinapisG00000014342	tryp4_3
leptidea_sinapisG00000009299	znf726
leptidea_sinapisG00000015382	ppme1
leptidea_sinapisG00000006898	micu3
leptidea_sinapisG00000009561	-
leptidea_sinapisG00000009150	-
leptidea_sinapisG00000007162	-
leptidea_sinapisG00000009252	fgf
leptidea_sinapisG00000014596	-
leptidea_sinapisG00000003403	myg1
leptidea_sinapisG00000013272	-
leptidea_sinapisG00000004673	-
leptidea_sinapisG00000001071	-
leptidea_sinapisG00000009978	-
leptidea_sinapisG00000008458	dmd
leptidea_sinapisG00000000233	-
leptidea_sinapisG00000011070	-
leptidea_sinapisG00000009671	dys_3
leptidea_sinapisG00000001444	dys
leptidea_sinapisG00000010377	-
leptidea_sinapisG00000000476	-
leptidea_sinapisG00000007030	-
leptidea_sinapisG00000003704	-
leptidea_sinapisG00000015528	-
leptidea_sinapisG00000013676	dys_4
leptidea_sinapisG00000004930	dys_2
leptidea_sinapisG00000008008	cks1b
leptidea_sinapisG00000006098	-
leptidea_sinapisG00000002669	fhdc1
leptidea_sinapisG00000009558	orct2_2
leptidea_sinapisG00000007265	sap47
leptidea_sinapisG00000000385	usp8
leptidea_sinapisG00000004250	-
leptidea_sinapisG00000000307	gf15501agap011705
leptidea_sinapisG00000015051	nisch
leptidea_sinapisG00000006902	eif2ak3
leptidea_sinapisG00000003147	pek
leptidea_sinapisG00000007441	mcm2
leptidea_sinapisG00000000745	zcchc10
leptidea_sinapisG00000001685	blp
leptidea_sinapisG00000015406	tmem169
leptidea_sinapisG00000006816	scu_2
leptidea_sinapisG00000002286	-
leptidea_sinapisG00000010457	-
leptidea_sinapisG00000001036	npr1_2
leptidea_sinapisG00000013976	-
leptidea_sinapisG00000006364	aael013712_2
leptidea_sinapisG00000014720	ndufs3_2
leptidea_sinapisG00000002552	-
leptidea_sinapisG00000013513	tdrd5
leptidea_sinapisG00000000427	uros
leptidea_sinapisG00000001551	-
leptidea_sinapisG00000010355	iglon5
leptidea_sinapisG00000002027	cepu1
leptidea_sinapisG00000013282	mlc-c_2
leptidea_sinapisG00000012098	ugt1a10ugt1a9ugt2a3ugt2b9ugt1a7c
leptidea_sinapisG00000011032	tim9a
leptidea_sinapisG00000002929	tip60
leptidea_sinapisG00000005190	atf3
leptidea_sinapisG00000001124	mlc-c
leptidea_sinapisG00000014495	mahj_2
leptidea_sinapisG00000007856	eid3
leptidea_sinapisG00000012436	yl
leptidea_sinapisG00000010442	mod(mdg4)_2
leptidea_sinapisG00000003338	pit
leptidea_sinapisG00000003561	pit_2
leptidea_sinapisG00000000866	prkcsh
leptidea_sinapisG00000000455	sf3a3
leptidea_sinapisG00000012338	wdr36
leptidea_sinapisG00000007480	cstf1
leptidea_sinapisG00000003170	plce1_3
leptidea_sinapisG00000014714	-
leptidea_sinapisG00000006043	-
leptidea_sinapisG00000009580	-
leptidea_sinapisG00000002604	-
leptidea_sinapisG00000000204	-
leptidea_sinapisG00000012053	bet1
leptidea_sinapisG00000002340	gtf2h2
leptidea_sinapisG00000005570	ube2ia
leptidea_sinapisG00000004431	su(var)205
leptidea_sinapisG00000000471	taf5
leptidea_sinapisG00000008591	ints10
leptidea_sinapisG00000002105	fsn
leptidea_sinapisG00000003547	tmem164
leptidea_sinapisG00000008892	cg25c
leptidea_sinapisG00000012918	his2a_2
leptidea_sinapisG00000009678	fbxl15
leptidea_sinapisG00000012167	kat6b
leptidea_sinapisG00000003889	adk
leptidea_sinapisG00000004313	hsp60
leptidea_sinapisG00000010555	ptpn13_2
leptidea_sinapisG00000000446	vti1a
